direct id,prog_name,source,covered_drugs.name,covered_drugs.generic,standerdised_drug,standerdised_program,existing or new,id
683eb35152f4d71ca049b10e,HIV Treatment and Prevention,PAN,ABACAVIR-LAMIVUDINE,abacavir sulfate/lamivudine,abacavir-lamivudine,hiv treatment and prevention fund,,5775
683eb07337b86bfd7218a0ed,Post Menopausal Osteoporosis - Medicare Access,healthwell,Abaloparatide,,abaloparatide,post menopausal osteoporosis - medicare access fund,,5694
683eab51c1adc57577caa6c0,Primary Immune Deficiency,accessia,Abatacept,,abatacept,,,
683eab51c1adc57577caa6c1,Primary Immune Deficiency,accessia,Abatacept,,abatacept,,,
683eb07337b86bfd7218a0f6,Systemic Lupus Erythematosus,healthwell,Abatacept,,abatacept,systemic lupus erythematosus fund,,5702
683eb07337b86bfd7218a0df,Multiple Myeloma - Medicare Access,healthwell,Abecma,,abecma,multiple myeloma - medicare access fund,,5682
683eb35152f4d71ca049b11c,Multiple Myeloma,PAN,ABECMA,idecabtagene vicleucel,abecma,,,
683eb07337b86bfd7218a0c4,Fungal Infections-Aspergillosis and Candidiasis,healthwell,Abelcet,,abelcet,fungal infections-aspergillosis and candidiasis fund,,5656
683eb07337b86bfd7218a0b0,Breast Cancer - Medicare Access,healthwell,Abemaciclib,,abemaciclib,breast cancer - medicare access fund,,5637
683eb07337b86bfd7218a0f6,Systemic Lupus Erythematosus,healthwell,Abetimus,,abetimus,systemic lupus erythematosus fund,,5702
683eb07337b86bfd7218a0b2,Cancer-Related Behavioral Health,healthwell,Abilify,,abilify,cancer-related behavioral health fund,,5639
683eb07337b86bfd7218a0c3,Emergency/Medical Workers Behavioral Health Fund,healthwell,Abilify,,abilify,,,
683eb07337b86bfd7218a0de,Movement Disorders - Medicare Access,healthwell,Abilify,,abilify,movement disorders - medicare access fund,,5681
683eb07337b86bfd7218a0e2,Neurocognitive Disease with Psychosis - Medicare Access,healthwell,Abilify,,abilify,neurocognitive disease with psychosis - medicare access fund,,5685
683eb07337b86bfd7218a0e6,Oncology Caregiver Behavioral Health Fund,healthwell,Abilify,,abilify,,,
683eb07337b86bfd7218a0ea,Pediatric Assistance,healthwell,Abilify,,abilify,pediatric assistance fund,,5691
683eb07337b86bfd7218a0f2,Schizophrenia - Medicare Access,healthwell,Abilify,,abilify,schizophrenia - medicare access fund,,5699
683eb35152f4d71ca049b0fa,Bipolar Disorder,PAN,ABILIFY,aripiprazole,abilify,,,
683eb35152f4d71ca049b136,Schizophrenia,PAN,ABILIFY,aripiprazole,abilify,schizophrenia fund,,5798
683eb07337b86bfd7218a0de,Movement Disorders - Medicare Access,healthwell,Abilify Asimtufi,,abilify mycite starter kit,movement disorders - medicare access fund,,5681
683eb07337b86bfd7218a0ea,Pediatric Assistance,healthwell,Abilify Asimtufii,,abilify asimtufii,pediatric assistance fund,,5691
683eb35152f4d71ca049b0fa,Bipolar Disorder,PAN,ABILIFY ASIMTUFII,aripiprazole,abilify asimtufii,,,
683eb35152f4d71ca049b136,Schizophrenia,PAN,ABILIFY ASIMTUFII,aripiprazole,abilify asimtufii,schizophrenia fund,,5798
683eb07337b86bfd7218a0b2,Cancer-Related Behavioral Health,healthwell,Abilify Discmelt,,abilify discmelt,cancer-related behavioral health fund,,5639
683eb07337b86bfd7218a0c3,Emergency/Medical Workers Behavioral Health Fund,healthwell,Abilify Discmelt,,abilify discmelt,,,
683eb07337b86bfd7218a0e2,Neurocognitive Disease with Psychosis - Medicare Access,healthwell,Abilify Discmelt,,abilify discmelt,neurocognitive disease with psychosis - medicare access fund,,5685
683eb07337b86bfd7218a0e6,Oncology Caregiver Behavioral Health Fund,healthwell,Abilify Discmelt,,abilify discmelt,,,
683eb07337b86bfd7218a0b2,Cancer-Related Behavioral Health,healthwell,Abilify Maintena,,abilify maintena,cancer-related behavioral health fund,,5639
683eb07337b86bfd7218a0c3,Emergency/Medical Workers Behavioral Health Fund,healthwell,Abilify Maintena,,abilify maintena,,,
683eb07337b86bfd7218a0de,Movement Disorders - Medicare Access,healthwell,Abilify Maintena,,abilify maintena,movement disorders - medicare access fund,,5681
683eb07337b86bfd7218a0e2,Neurocognitive Disease with Psychosis - Medicare Access,healthwell,Abilify Maintena,,abilify maintena,neurocognitive disease with psychosis - medicare access fund,,5685
683eb07337b86bfd7218a0e6,Oncology Caregiver Behavioral Health Fund,healthwell,Abilify Maintena,,abilify maintena,,,
683eb35152f4d71ca049b0fa,Bipolar Disorder,PAN,ABILIFY MAINTENA,aripiprazole,abilify maintena,,,
683eb35152f4d71ca049b136,Schizophrenia,PAN,ABILIFY MAINTENA,aripiprazole,abilify maintena,schizophrenia fund,,5798
683eb07337b86bfd7218a0ea,Pediatric Assistance,healthwell,Abilify Maintena Dual-chambered Syringe,,abilify maintena dual-chambered syringe,pediatric assistance fund,,5691
683eb07337b86bfd7218a0ea,Pediatric Assistance,healthwell,Abilify Maintena Vial,,abilify maintena,pediatric assistance fund,,5691
683eb07337b86bfd7218a0b2,Cancer-Related Behavioral Health,healthwell,Abilify Mycite,,abilify mycite,cancer-related behavioral health fund,,5639
683eb07337b86bfd7218a0c3,Emergency/Medical Workers Behavioral Health Fund,healthwell,Abilify Mycite,,abilify mycite,,,
683eb07337b86bfd7218a0e2,Neurocognitive Disease with Psychosis - Medicare Access,healthwell,Abilify Mycite,,abilify mycite,neurocognitive disease with psychosis - medicare access fund,,5685
683eb07337b86bfd7218a0e6,Oncology Caregiver Behavioral Health Fund,healthwell,Abilify Mycite,,abilify mycite,,,
683eb35152f4d71ca049b0fa,Bipolar Disorder,PAN,ABILIFY MYCITE,aripiprazole,abilify mycite,,,
683eb35152f4d71ca049b136,Schizophrenia,PAN,ABILIFY MYCITE,aripiprazole,abilify mycite,schizophrenia fund,,5798
683eb07337b86bfd7218a0de,Movement Disorders - Medicare Access,healthwell,Abilify Mycite Maintenance Kit,,abilify mycite maintenance kit,movement disorders - medicare access fund,,5681
683eb07337b86bfd7218a0ea,Pediatric Assistance,healthwell,Abilify Mycite Maintenance Kit,,abilify mycite maintenance kit,pediatric assistance fund,,5691
683eb07337b86bfd7218a0de,Movement Disorders - Medicare Access,healthwell,Abilify Mycite Starter Kit,,abilify mycite starter kit,movement disorders - medicare access fund,,5681
683eb07337b86bfd7218a0ea,Pediatric Assistance,healthwell,Abilify Mycite Starter Kit,,abilify mycite starter kit,pediatric assistance fund,,5691
683eafba658efbd7a8fc53c5,Metastatic Castrate Resistant Prostate Cancer,gooddays,Abiraterone,,abiraterone,metastatic castrate resistant prostate cancer fund,,5755
683eb07337b86bfd7218a0ee,Prostate Cancer - Medicare Access,healthwell,Abiraterone Acetate,,abiraterone acetate,prostate cancer - medicare access fund,,5695
683eb35152f4d71ca049b131,Prostate Cancer,PAN,ABIRATERONE ACETATE,abiraterone acetate,abiraterone acetate,,,
683ec3aa1b52e28e932e22fe,Prostate Cancer,TAF,Abiraterone acetate,,abiraterone acetate,prostate cancer fund,,5572
683eb35152f4d71ca049b131,Prostate Cancer,PAN,ABIRTEGA,abiraterone acetate,abiraterone acetate,,,
683eb07337b86bfd7218a0b4,Cardiomyopathy - Medicare Access,healthwell,Ablysinol,,ablysinol,cardiomyopathy - medicare access fund,,5641
683eab51c1adc57577caa6ab,Multiple Sclerosis,accessia,AbobotulinumtoxinA,,abobotulinumtoxina,,,
683eab51c1adc57577caa6ac,Multiple Sclerosis,accessia,AbobotulinumtoxinA,,abobotulinumtoxina,,,
683eafba658efbd7a8fc53c4,Metastatic Breast Cancer,gooddays,Abraxane,,abraxane,,,
683eafba658efbd7a8fc53cf,Non-Small Cell Lung Cancer,gooddays,Abraxane,,abraxane,,,
683eafba658efbd7a8fc53d1,Pancreatic Cancer,gooddays,Abraxane,,abraxane,,,
683eb07337b86bfd7218a0ad,Bladder and Urothelial Cancer - Medicare Access,healthwell,Abraxane,,abraxane,bladder and urothelial cancer - medicare access fund,,5634
683eb07337b86bfd7218a0b0,Breast Cancer - Medicare Access,healthwell,Abraxane,,abraxane,breast cancer - medicare access fund,,5637
683eb07337b86bfd7218a0cc,Head and Neck Cancer - Medicare Access,healthwell,Abraxane,,abraxane,head and neck cancer - medicare access fund,,5664
683eb07337b86bfd7218a0e4,Non-Small Cell Lung Cancer - Medicare Access,healthwell,Abraxane,,abraxane,non-small cell lung cancer - medicare access fund,,5686
683eb07337b86bfd7218a0e7,Ovarian Cancer - Medicare Access,healthwell,Abraxane,,abraxane,ovarian cancer - medicare access fund,,5689
683eb07337b86bfd7218a0e8,Pancreatic Cancer - Medicare Access,healthwell,Abraxane,,abraxane,pancreatic cancer - medicare access fund,,5690
683eb07337b86bfd7218a0f5,Small Cell Lung Cancer - Medicare Access,healthwell,Abraxane,,abraxane,small cell lung cancer - medicare access fund,,5701
683eb35152f4d71ca049b0f8,Basal Cell Carcinoma,PAN,ABRAXANE,paclitaxel protein-bound,abraxane,basal cell carcinoma fund,,5765
683eb35152f4d71ca049b0f9,Biliary Tract Cancer,PAN,ABRAXANE,paclitaxel protein-bound,abraxane,,,
683eb35152f4d71ca049b0fb,Bladder Cancer,PAN,ABRAXANE,paclitaxel protein-bound,abraxane,,,
683eb35152f4d71ca049b0fc,Breast Cancer,PAN,ABRAXANE,paclitaxel protein-bound,abraxane,,,
683eb35152f4d71ca049b11b,Melanoma,PAN,ABRAXANE,paclitaxel protein-bound,abraxane,,,
683eb35152f4d71ca049b125,Non-Small Cell Lung Cancer,PAN,ABRAXANE,paclitaxel protein-bound,abraxane,,,
683eb35152f4d71ca049b126,Ovarian Cancer,PAN,ABRAXANE,paclitaxel protein-bound,abraxane,,,
683eb35152f4d71ca049b127,Pancreatic Cancer,PAN,ABRAXANE,paclitaxel protein-bound,abraxane,,,
683eb35152f4d71ca049b13a,Small Cell Lung Cancer,PAN,ABRAXANE,paclitaxel protein-bound,abraxane,,,
683ec3aa1b52e28e932e22bd,Breast Cancer,TAF,Abraxane,,abraxane,breast cancer fund,,5510
683ec3aa1b52e28e932e22f1,Non-Small Cell Lung Cancer (NSCLC),TAF,Abraxane,,abraxane,non-small cell lung cancer (nsclc) fund,,5559
683ec3aa1b52e28e932e22f5,Pancreatic Cancer,TAF,Abraxane,,abraxane,pancreatic cancer fund,,5563
683eafba658efbd7a8fc53b9,Chronic Noninfectious Uveitis,gooddays,Abrilada,,abrilada,chronic noninfectious uveitis fund,,5747
683eb07337b86bfd7218a0ab,AutoImmune - Medicare Access,healthwell,Abrilada,,abrilada,autoimmune - medicare access fund,,5632
683eb07337b86bfd7218a0d7,Inflammatory Bowel Disease - Medicare Access,healthwell,Abrilada,,abrilada,inflammatory bowel disease - medicare access fund,,5674
683eb35152f4d71ca049b0f5,Amyloidosis,PAN,ABRILADA,CF,abrilada,,,
683eb35152f4d71ca049b0f5,Amyloidosis,PAN,ABRILADA,CF,abrilada,,,
683eb35152f4d71ca049b0f5,Amyloidosis,PAN,ABRILADA,CF,abrilada,,,
683eb35152f4d71ca049b0f6,Ankylosing Spondylitis,PAN,ABRILADA,CF,abrilada,,,
683eb35152f4d71ca049b0f6,Ankylosing Spondylitis,PAN,ABRILADA,CF,abrilada,,,
683eb35152f4d71ca049b0f6,Ankylosing Spondylitis,PAN,ABRILADA,CF,abrilada,,,
683eb35152f4d71ca049b13e,Uveitis,PAN,ABRILADA,CF,abrilada,,,
683eb35152f4d71ca049b13e,Uveitis,PAN,ABRILADA,CF,abrilada,,,
683eb35152f4d71ca049b13e,Uveitis,PAN,ABRILADA,CF,abrilada,,,
683ec3aa1b52e28e932e22b7,Ankylosing Spondylitis,TAF,Abrilada,,abrilada,ankylosing spondylitis fund,,5504
683ec3aa1b52e28e932e22c4,Crohns Disease,TAF,Abrilada,,abrilada,crohns disease fund,,5517
683ec3aa1b52e28e932e22df,Juvenile Arthritis,TAF,Abrilada,,abrilada,juvenile arthritis fund,,5541
683ec3aa1b52e28e932e22ff,Psoriasis,TAF,Abrilada,,abrilada,psoriasis fund,,5573
683ec3aa1b52e28e932e2300,Psoriatic Arthritis,TAF,Abrilada,,abrilada,psoriatic arthritis fund,,5574
683ec3aa1b52e28e932e2304,Rheumatoid Arthritis,TAF,Abrilada,,abrilada,rheumatoid arthritis fund,,5578
683ec3aa1b52e28e932e230f,Ulcerative Colitis,TAF,Abrilada,,abrilada,ulcerative colitis fund,,5589
683ec3aa1b52e28e932e2311,Uveitis,TAF,Abrilada,,abrilada,uveitis fund,,5591
683eb07337b86bfd7218a0ea,Pediatric Assistance,healthwell,Acarbose,,acarbose,pediatric assistance fund,,5691
683eb07337b86bfd7218a0f9,Type 2 Diabetes,healthwell,Acarbose,,acarbose,type 2 diabetes fund,,5705
683eab51c1adc57577caa652,Asthma,accessia,Accolate,,accolate,,,
683eab51c1adc57577caa653,Asthma,accessia,Accolate,,accolate,,,
683eb07337b86bfd7218a0aa,Asthma,healthwell,Accolate,,accolate,,,
683eb35152f4d71ca049b0f7,Asthma,PAN,ACCOLATE,zafirlukast,accolate,,,
683ec3aa1b52e28e932e22b8,Asthma,TAF,Accolate,,accolate,asthma fund,,5505
683eb07337b86bfd7218a0aa,Asthma,healthwell,Accuneb,,accuneb,,,
683eb07337b86bfd7218a0be,Cystic Fibrosis Treatments,healthwell,Accuneb,,accuneb,cystic fibrosis treatments fund,,5650
683eab51c1adc57577caa68c,Heart Failure,accessia,Accupril,,accupril,,,
683eab51c1adc57577caa68d,Heart Failure,accessia,Accupril,,accupril,,,
683eb07337b86bfd7218a0b4,Cardiomyopathy - Medicare Access,healthwell,Accupril,,accupril,cardiomyopathy - medicare access fund,,5641
683eb07337b86bfd7218a0b7,Chronic Heart Failure - Medicare Access,healthwell,Accupril,,accupril,chronic heart failure - medicare access fund,,5644
683eb35152f4d71ca049b10a,Heart Failure,PAN,ACCUPRIL,quinapril hcl,accupril,,,
683eb35152f4d71ca049b10b,Hemolytic Uremic Syndrome,PAN,ACCUPRIL,quinapril hcl,accupril,hemolytic uremic syndrome fund,,5772
683eb35152f4d71ca049b10c,Hemolytic Uremic Syndrome Premium,PAN,ACCUPRIL,quinapril hcl,accupril,hemolytic uremic syndrome premium fund,,5773
683eb35152f4d71ca049b121,Neurofibromatosis,PAN,ACCUPRIL,quinapril hcl,accupril,,,
683eb35152f4d71ca049b10a,Heart Failure,PAN,ACCURETIC,quinapril/hydrochlorothiazide,accuretic,,,
683eb35152f4d71ca049b121,Neurofibromatosis,PAN,ACCURETIC,quinapril/hydrochlorothiazide,accuretic,,,
683ec3aa1b52e28e932e22e5,"MPS I - Hurler Syndrome (Hurler-Scheie, Scheie)",TAF,Acebutolol hydrochloride,,acebutolol hydrochloride,"mps i - hurler syndrome (hurler-scheie, scheie) fund",,5547
683ec3aa1b52e28e932e22ee,Neurofibromatosis,TAF,Acebutolol Hydrochloride,,acebutolol hydrochloride,neurofibromatosis fund,,5556
683eb07337b86bfd7218a0c9,Gout - Medicare Access,healthwell,Aceclofenac,,aceclofenac,gout - medicare access fund,,5661
683eb07337b86bfd7218a0ca,Gout Travel Fund,healthwell,Aceclofenac,,aceclofenac,,,
683eb07337b86bfd7218a0c9,Gout - Medicare Access,healthwell,Acemetacin,,acemetacin,gout - medicare access fund,,5661
683eb07337b86bfd7218a0ca,Gout Travel Fund,healthwell,Acemetacin,,acemetacin,,,
683eb07337b86bfd7218a0b4,Cardiomyopathy - Medicare Access,healthwell,Aceon,,aceon,cardiomyopathy - medicare access fund,,5641
683eb07337b86bfd7218a0b7,Chronic Heart Failure - Medicare Access,healthwell,Aceon,,aceon,chronic heart failure - medicare access fund,,5644
683eb35152f4d71ca049b101,Diabetic Foot Ulcers,PAN,ACESO AG,silver/silicone/foam bandage,aceso ag,,,
683eb07337b86bfd7218a0a7,Amyloidosis,healthwell,Acetadote,,acetadote,,,
683eb07337b86bfd7218a0ba,Chronic Obstructive Pulmonary Disease - Medicare Access,healthwell,Acetadote,,acetadote,chronic obstructive pulmonary disease - medicare access fund,,5646
683eb07337b86bfd7218a0ef,Pulmonary Fibrosis,healthwell,Acetadote,,acetadote,pulmonary fibrosis fund,,5696
683eb07337b86bfd7218a0dd,Migraine,healthwell,Acetaminophen,,acetaminophen,migraine fund,,5680
683eb35152f4d71ca049b10b,Hemolytic Uremic Syndrome,PAN,ACETAMINOPHEN,acetaminophen,acetaminophen,hemolytic uremic syndrome fund,,5772
683eb35152f4d71ca049b10c,Hemolytic Uremic Syndrome Premium,PAN,ACETAMINOPHEN,acetaminophen,acetaminophen,hemolytic uremic syndrome premium fund,,5773
683eb35152f4d71ca049b111,Hypophosphatasia Premium,PAN,ACETAMINOPHEN,acetaminophen,acetaminophen,,,
683eb07337b86bfd7218a0ea,Pediatric Assistance,healthwell,Acetaminophen (iv),,acetaminophen,pediatric assistance fund,,5691
683eb35152f4d71ca049b111,Hypophosphatasia Premium,PAN,ACETAMINOPHEN ER,acetaminophen,acetaminophen,,,
683eb35152f4d71ca049b111,Hypophosphatasia Premium,PAN,ACETAMINOPHEN EXTRA STRENGTH,acetaminophen,acetaminophen,,,
683eb07337b86bfd7218a0ea,Pediatric Assistance,healthwell,Acetaminophen Novaplus,,acetaminophen novaplus,pediatric assistance fund,,5691
683eab51c1adc57577caa664,Circadian Rhythm Disorders,accessia,Acetaminophen PM,,acetaminophen pm,,,
683eb35152f4d71ca049b111,Hypophosphatasia Premium,PAN,ACETAMINOPHEN PM,acetaminophen/diphenhydramine,acetaminophen pm,,,
683eab51c1adc57577caa664,Circadian Rhythm Disorders,accessia,Acetaminophen PM Ex St,,acetaminophen pm ex st,,,
683eb35152f4d71ca049b111,Hypophosphatasia Premium,PAN,ACETAMINOPHEN PM XTRA STRENGTH,acetaminophen/diphenhydramine,acetaminophen pm xtra strength,,,
683eb35152f4d71ca049b139,Sickle Cell Disease,PAN,ACETAMINOPHEN-CODEINE,acetaminophen with codeine,acetaminophen-codeine,,,
683eb35152f4d71ca049b121,Neurofibromatosis,PAN,ACETAMINOPHEN-IBUPROFEN,ibuprofen/acetaminophen,acetaminophen-ibuprofen,,,
683eab51c1adc57577caa68c,Heart Failure,accessia,acetaZOLAMIDE,,acetazolamide,,,
683eab51c1adc57577caa68d,Heart Failure,accessia,acetaZOLAMIDE,,acetazolamide,,,
683eb35152f4d71ca049b113,Inherited Retinal Disease,PAN,ACETAZOLAMIDE,acetazolamide,acetazolamide,inherited retinal disease fund,,5781
683eb35152f4d71ca049b114,Inherited Retinal Disease Premium,PAN,ACETAZOLAMIDE,acetazolamide,acetazolamide,inherited retinal disease premium fund,,5782
683ec3aa1b52e28e932e22d1,Heart Failure,TAF,Acetazolamide,,acetazolamide,heart failure fund,,5528
683eab51c1adc57577caa68c,Heart Failure,accessia,acetaZOLAMIDE ER,,acetazolamide er,,,
683eab51c1adc57577caa68d,Heart Failure,accessia,acetaZOLAMIDE ER,,acetazolamide er,,,
683eb35152f4d71ca049b113,Inherited Retinal Disease,PAN,ACETAZOLAMIDE ER,acetazolamide,acetazolamide,inherited retinal disease fund,,5781
683eb35152f4d71ca049b114,Inherited Retinal Disease Premium,PAN,ACETAZOLAMIDE ER,acetazolamide,acetazolamide,inherited retinal disease premium fund,,5782
683eab51c1adc57577caa68c,Heart Failure,accessia,acetaZOLAMIDE Sodium,,acetazolamide sodium,,,
683eab51c1adc57577caa68d,Heart Failure,accessia,acetaZOLAMIDE Sodium,,acetazolamide sodium,,,
683ec3aa1b52e28e932e22d1,Heart Failure,TAF,Acetazolamide sodium,,acetazolamide sodium,heart failure fund,,5528
683eb07337b86bfd7218a0c2,Dupuytren's Disease,healthwell,Acetyl-l-cysteine,,acetyl-l-cysteine,dupuytren's disease fund,,5654
683eb07337b86bfd7218a0e0,Multiple Sclerosis - Medicare Access,healthwell,Acetylcarnitine,,acetylcarnitine,multiple sclerosis - medicare access fund,,5683
683eab51c1adc57577caa652,Asthma,accessia,Acetylcysteine,,acetylcysteine,,,
683eab51c1adc57577caa653,Asthma,accessia,Acetylcysteine,,acetylcysteine,,,
683eb07337b86bfd7218a0ba,Chronic Obstructive Pulmonary Disease - Medicare Access,healthwell,Acetylcysteine,,acetylcysteine,chronic obstructive pulmonary disease - medicare access fund,,5646
683eb07337b86bfd7218a0ef,Pulmonary Fibrosis,healthwell,Acetylcysteine,,acetylcysteine,pulmonary fibrosis fund,,5696
683ec3aa1b52e28e932e22b5,Amyloidosis,TAF,Acetylcysteine,,acetylcysteine,amyloidosis fund,,5502
683ec3aa1b52e28e932e22b8,Asthma,TAF,Acetylcysteine,,acetylcysteine,asthma fund,,5505
683ec3aa1b52e28e932e22c5,Cystic Fibrosis,TAF,Acetylcysteine,,acetylcysteine,cystic fibrosis fund,,5518
683eb07337b86bfd7218a0a7,Amyloidosis,healthwell,Acetylcysteine Novaplus,,acetylcysteine novaplus,,,
683eb07337b86bfd7218a0ba,Chronic Obstructive Pulmonary Disease - Medicare Access,healthwell,Acetylcysteine Novaplus,,acetylcysteine novaplus,chronic obstructive pulmonary disease - medicare access fund,,5646
683eb07337b86bfd7218a0be,Cystic Fibrosis Treatments,healthwell,Acetylcysteine Sol,,acetylcysteine sol,cystic fibrosis treatments fund,,5650
683eb07337b86bfd7218a0ea,Pediatric Assistance,healthwell,Acetylsalicyclic Acid,,acetylsalicyclic acid,pediatric assistance fund,,5691
683eb07337b86bfd7218a0d1,Hypercholesterolemia - Medicare Access,healthwell,Acetylsalicylic Acid,,acetylsalicylic acid,hypercholesterolemia - medicare access fund,,5668
683eb35152f4d71ca049b116,Long Chain Fatty Acid Oxidation Disorders,PAN,ACIDOPHILUS,l. acidophilus/bifido. longum,Acidophilus Lactobacillus,long chain fatty acid oxidation disorders fund,,5783
683eb35152f4d71ca049b116,Long Chain Fatty Acid Oxidation Disorders,PAN,ACIDOPHILUS,l. acidophilus/lactobac spor,Acidophilus Lactobacillus,long chain fatty acid oxidation disorders fund,,5783
683eb35152f4d71ca049b116,Long Chain Fatty Acid Oxidation Disorders,PAN,ACIDOPHILUS,"l.acidoph,saliva/b.bif/s.therm",Acidophilus Lactobacillus,long chain fatty acid oxidation disorders fund,,5783
683eb35152f4d71ca049b116,Long Chain Fatty Acid Oxidation Disorders,PAN,ACIDOPHILUS,lactobacillus acidophilus,Acidophilus Lactobacillus,long chain fatty acid oxidation disorders fund,,5783
683eb35152f4d71ca049b116,Long Chain Fatty Acid Oxidation Disorders,PAN,ACIDOPHILUS LACTOBACILLI,lactobacillus acidophilus,acidophilus lactobacilli,long chain fatty acid oxidation disorders fund,,5783
683eb35152f4d71ca049b116,Long Chain Fatty Acid Oxidation Disorders,PAN,ACIDOPHILUS LACTOBACILLUS,lactobacillus acidophilus,acidophilus lactobacillus,long chain fatty acid oxidation disorders fund,,5783
683eb35152f4d71ca049b116,Long Chain Fatty Acid Oxidation Disorders,PAN,ACIDOPHILUS PROBIOTIC,lactobacillus acidophilus,acidophilus probiotic,long chain fatty acid oxidation disorders fund,,5783
683eb35152f4d71ca049b116,Long Chain Fatty Acid Oxidation Disorders,PAN,ACIDOPHILUS PROBIOTIC,lactobacillus acidophilus/fos,acidophilus probiotic,long chain fatty acid oxidation disorders fund,,5783
683eb35152f4d71ca049b116,Long Chain Fatty Acid Oxidation Disorders,PAN,ACIDOPHILUS-BIFIDUS,l. acidophilus/l. bifidus,acidophilus-bifidus,long chain fatty acid oxidation disorders fund,,5783
683eb35152f4d71ca049b116,Long Chain Fatty Acid Oxidation Disorders,PAN,ACIDOPHILUS-PECTIN,"l. acidophilus/pectin, citrus",acidophilus-pectin,long chain fatty acid oxidation disorders fund,,5783
683eb35152f4d71ca049b116,Long Chain Fatty Acid Oxidation Disorders,PAN,ACIDOPHILUS-PECTIN,lactobacillus acidophilus/pect,acidophilus-pectin,long chain fatty acid oxidation disorders fund,,5783
683eb35152f4d71ca049b135,Rett Syndrome,PAN,ACIPHEX,rabeprazole sodium,aciphex,,,
683eb35152f4d71ca049b137,Short Bowel Syndrome,PAN,ACIPHEX,rabeprazole sodium,aciphex,,,
683eb35152f4d71ca049b138,Short Bowel Syndrome Premium,PAN,ACIPHEX,rabeprazole sodium,aciphex,short bowel syndrome premium fund,,5799
683ec3aa1b52e28e932e2303,Rett Syndrome,TAF,Aciphex,,aciphex,rett syndrome fund,,5577
683eb35152f4d71ca049b135,Rett Syndrome,PAN,ACIPHEX SPRINKLE,rabeprazole sodium,aciphex sprinkle,,,
683eb35152f4d71ca049b137,Short Bowel Syndrome,PAN,ACIPHEX SPRINKLE,rabeprazole sodium,aciphex sprinkle,,,
683eb35152f4d71ca049b138,Short Bowel Syndrome Premium,PAN,ACIPHEX SPRINKLE,rabeprazole sodium,aciphex sprinkle,short bowel syndrome premium fund,,5799
683eb07337b86bfd7218a0ab,AutoImmune - Medicare Access,healthwell,Acitretin,,acitretin,autoimmune - medicare access fund,,5632
683ec3aa1b52e28e932e22ff,Psoriasis,TAF,Acitretin,,acitretin,psoriasis fund,,5573
683eb07337b86bfd7218a0ba,Chronic Obstructive Pulmonary Disease - Medicare Access,healthwell,Aclidinium Bromide,,aclidinium bromide,chronic obstructive pulmonary disease - medicare access fund,,5646
683eb07337b86bfd7218a0ab,AutoImmune - Medicare Access,healthwell,Aclovate,,aclovate,autoimmune - medicare access fund,,5632
683eab51c1adc57577caa6c4,Pulmonary Fibrosis,accessia,Actemra,,actemra,,,
683eb07337b86bfd7218a0ab,AutoImmune - Medicare Access,healthwell,Actemra,,actemra,autoimmune - medicare access fund,,5632
683eb07337b86bfd7218a0ac,B-Cell Lymphoma - Medicare Access,healthwell,Actemra,,actemra,b-cell lymphoma - medicare access fund,,5633
