ID,Name,Source,Source ID,Generic Name,Company Name,Equivalent,Associated Programs,Associated Drugs Count,Created At,Updated At
22,accrufer capsule,NEEDY_MEDS,68cc1b77-454f-b346-a6ba-b190237e46e3,,,ferric maltol capsule,Accrufer capsule Free-Trial Offer; Accrufer capsule Mail-Order Pharmacy; Accrufer capsule Mail-Order Pharmacy,1,2024-08-21 09:10:46,2025-03-16 06:58:55
23,accu-chek fastclix lancets,NEEDY_MEDS,146cb0a2-5ddd-4d2c-a9a5-c41911dfa531,,,diabetes supplies,Accu-Chek FastClix lancets Sign-up Coupon; Accu-Chek FastClix lancets Sign-up Coupon,1,2024-08-21 09:10:46,2025-03-16 06:58:55
24,accu-chek guide me blood glucose meter,NEEDY_MEDS,50929ce6-3cee-4314-99f5-72aef06bf065,,,glucose meter,Accu-Chek Guide Me Blood Glucose Meter Free Sample Offer; Accu-Chek Guide Me Blood Glucose Meter Sign-up Coupon; Accu-Chek Guide Me Blood Glucose Meter Sign-up Coupon,1,2024-08-21 09:10:46,2025-03-16 06:58:55
25,accu-chek guide meter,NEEDY_MEDS,e5b160f9-792e-42dd-8034-5e099278e51d,,,glucose meter,Accu-Chek Guide Meter Sign-up Coupon,1,2024-08-21 09:10:46,2025-03-16 06:58:55
26,accu-chek guide test strips,NEEDY_MEDS,25e18951-8e76-0943-8f81-447e80baefcd,,,glucose test strip,Accu-Chek Guide Test Strips Sign-up Coupon; Accu-Chek Guide Test Strips Sign-up Coupon,1,2024-08-21 09:10:46,2025-03-16 06:58:55
27,accu-chek softclix lancets,NEEDY_MEDS,bd319b73-2c95-4f21-8a5b-b081f4e3dcd7,,,diabetes supplies,Accu-Chek Softclix lancets Sign-up Coupon; Accu-Chek Softclix lancets Sign-up Coupon,1,2024-08-21 09:10:46,2025-03-16 06:58:55
28,accuneb inhalation solution,NEEDY_MEDS,f7665690-ab16-6046-899f-370522b94679,,,albuterol sulfate inhalation solution,"",1,2024-08-21 09:10:46,2025-03-16 06:58:55
29,accupril tablet,NEEDY_MEDS,158ca1a1-11a6-5e44-8995-a1533499ab27,,,quinapril tablet,Rx Outreach Medications,1,2024-08-21 09:10:46,2025-03-16 06:58:55
30,accuretic tablet,NEEDY_MEDS,a8fd68eb-619f-6f44-a871-d5b365d490a1,,,quinapril-hydrochlorothiazide tablet,Rx Outreach Medications,1,2024-08-21 09:10:46,2025-03-16 06:58:55
31,accutane,NEEDY_MEDS,b6ea6bfc-202a-5e45-ba5b-db998883b0e1,,,isotretinoin,Accutane Copay Card Download,1,2024-08-21 09:10:46,2025-03-16 06:58:55
32,aceon tablet,NEEDY_MEDS,3b149921-454a-cf4b-8a64-ea9c9d985065,,,perindopril tablet,"",1,2024-08-21 09:10:46,2025-03-16 06:58:55
33,aceso ag,NEEDY_MEDS,42bf3cec-f94b-1f49-ba7b-a8a2ecb1bc51,,,silver topical,"",1,2024-08-21 09:10:46,2025-03-16 06:58:55
34,acetaminophen-codeine tablet,NEEDY_MEDS,eee5186e-9cdd-4948-a297-4255d6d7aabe,,,,"",1,2024-08-21 09:10:46,2024-08-21 09:10:46
35,acetazolamide,NEEDY_MEDS,a0e75899-ce28-43e0-8a35-8e460c6a7d27,,,,"",1,2024-08-21 09:10:46,2024-08-21 09:10:46
36,acetazolamide capsule; extended-release,NEEDY_MEDS,bcf5e0da-a539-8947-94c0-8cb98dbb53bb,,,,"",1,2024-08-21 09:10:46,2024-08-21 09:10:46
37,acidgone,NEEDY_MEDS,082992c3-b5e1-4010-aa2f-e83a47cf857a,,,aluminum hyroxide-magnesium carbonate,"",1,2024-08-21 09:10:46,2025-03-16 06:58:55
38,aciphex sprinkle capsule; delayed release,NEEDY_MEDS,c1108f49-d519-bb4e-a065-51519bd16872,,,rabeprazole sodium capsule; delayed release,"",1,2024-08-21 09:10:46,2025-03-16 06:58:55
39,aciphex tablet; delayed release,NEEDY_MEDS,6535efd2-fe45-bd45-810e-f74a67cdba68,,,rabeprazole sodium tablet; delayed release,Rx Outreach Medications; AcipHex tablet; delayed release Copay Card Sign-up,1,2024-08-21 09:10:46,2025-03-16 06:58:55
40,aclovate,NEEDY_MEDS,21c4d9b3-33ff-3849-ba0c-2b49eeff151f,,,alclometasone dipropionate,Rx Outreach Medications,1,2024-08-21 09:10:46,2025-03-16 06:58:55
41,act anticavity mouthwash products,NEEDY_MEDS,af3016ce-109e-8b40-9b65-f16fb776d096,,,sodium fluoride,ACT Anticavity Mouthwash Products Instant Coupon; ACT Anticavity Mouthwash Products Free Sample Offer,1,2024-08-21 09:10:46,2025-03-16 06:58:55
42,act braces care mouthwash,NEEDY_MEDS,8b52cd40-b590-384d-9bb6-f69c6a78ca76,,,sodium fluoride,ACT Braces Care Mouthwash Free Sample Offer,1,2024-08-21 09:10:46,2025-03-16 06:58:55
43,act dry mouth gum,NEEDY_MEDS,a4b2c9fe-32d2-5742-98c1-dbab04ce4dd7,,,sodium fluoride-xylitol,ACT Dry Mouth Gum Free Sample Offer; ACT Dry Mouth Gum Instant Coupon,1,2024-08-21 09:10:46,2025-03-16 06:58:55
44,act dry mouth lozenges,NEEDY_MEDS,f6adb7ec-fb58-7642-94c6-aaf35d25f9db,,,sodium fluoride,ACT Dry Mouth Lozenges Instant Coupon; ACT Dry Mouth Lozenges Free Sample Offer,1,2024-08-21 09:10:46,2025-03-16 06:58:55
45,act dry mouth mouthwash,NEEDY_MEDS,33e0b907-183d-cd47-97e0-c5887142846f,,,sodium fluoride,ACT Dry Mouth Mouthwash Instant Coupon; ACT Dry Mouth Mouthwash Free Sample Offer,1,2024-08-21 09:10:46,2025-03-16 06:58:55
46,actemra actpen injection; subcutaneous,NEEDY_MEDS,19c7335a-a780-4be9-85a0-fc96a58f4a48,,,tocilizumab injection; subcutaneous,"",1,2024-08-21 09:10:46,2025-03-16 06:58:55
47,actemra injection,NEEDY_MEDS,177c23e3-9798-f742-ae41-7924b3244a86,,,tocilizumab injection,Genentech Access Solutions: Actemra & Rituxan; Genentech Patient Foundation; Actemra injection Mail-In Rebate; Actemra injection Copay Card Sign-up,1,2024-08-21 09:10:46,2025-03-16 06:58:55
48,acthar gel injection,NEEDY_MEDS,b88972a3-5ba6-4d4c-a21a-45f819a909ec,,,repository corticotropin injection,Acthar Patient Assistance Program; Acthar Gel injection Copay Card Sign-up,1,2024-08-21 09:10:46,2025-03-16 06:58:55
49,acthar injection,NEEDY_MEDS,e7da199c-caae-df4d-863b-8b5e58be843e,,,corticotropin injection,"",1,2024-08-21 09:10:46,2025-03-16 06:58:55
50,acthrel injection; iv,NEEDY_MEDS,7e68ccf1-f919-5b4a-b03f-a9a71109ad61,,,corticoreline ovine triflutate injection; iv,"",1,2024-08-21 09:10:46,2025-03-16 06:58:55
51,acticlate tablet,NEEDY_MEDS,ffe665a5-ca61-a74b-a55e-a4785cad0db1,,,doxycycline hyclate tablet,"",1,2024-08-21 09:10:46,2025-03-16 06:58:55
52,actigall capsule,NEEDY_MEDS,25749980-20de-9a4e-b965-3b6a70888627,,,ursodiol capsule,Rx Outreach Medications,1,2024-08-21 09:10:46,2025-03-16 06:58:55
53,actimmune injection; subcutaneous,NEEDY_MEDS,b5e1a148-b5f0-2d4c-8239-2b28f07c6dd8,,,interferon gamma-1b injection; subcutaneous,Horizon By Your Side: Actimmune; Actimmune injection; subcutaneous Copay Card Program,1,2024-08-21 09:10:46,2025-03-16 06:58:55
54,activase injection; iv,NEEDY_MEDS,92bcd727-6d2b-4849-96e1-35f5d9662862,,,alteplase injection; iv,Genentech Patient Foundation,1,2024-08-21 09:10:46,2025-03-16 06:58:55
55,act kids mouthwash products,NEEDY_MEDS,a72c4cba-64a2-4295-b897-b4ae2eb0ccc0,,,sodium fluoride,ACT Kids Mouthwash Products Instant Coupon; ACT Kids Mouthwash Products Free Sample Offer,1,2024-08-21 09:10:46,2025-03-16 06:58:55
56,act kids toothpaste products,NEEDY_MEDS,77e104fe-78b3-44d1-9856-c8dd8a741a28,,,sodium fluoride,ACT Kids Toothpaste Products Free Sample Offer,1,2024-08-21 09:10:46,2025-03-16 06:58:55
57,actonel tablet,NEEDY_MEDS,9b9e7565-77e2-db46-b0af-c0b9214f2e37,,,risedronate sodium tablet,Rx Outreach Medications,1,2024-08-21 09:10:46,2025-03-16 06:58:55
58,actoplus met tablet,NEEDY_MEDS,77553d96-bdb0-6246-ad93-a8acece22b9f,,,metformin-pioglitazone tablet,"",1,2024-08-21 09:10:46,2025-03-16 06:58:55
59,actos tablet,NEEDY_MEDS,5de6c836-d9d6-f841-a927-029b78d6d711,,,pioglitazone tablet,Rx Outreach Medications,1,2024-08-21 09:10:46,2025-03-16 06:58:55
60,act restoring mouthwash products,NEEDY_MEDS,d5e7851b-1187-2c42-a4a2-90c1f549c569,,,sodium fluoride,ACT Restoring Mouthwash Products Instant Coupon; ACT Restoring Mouthwash Products Free Sample Offer,1,2024-08-21 09:10:46,2025-03-16 06:58:55
61,act total care mouthwash products,NEEDY_MEDS,afe6a6e3-38d4-d64f-9f91-dbec6b7d9708,,,sodium floride,ACT Total Care Mouthwash Products Instant Coupon,1,2024-08-21 09:10:46,2025-03-16 06:58:55
62,act total care sensitive mouthwash,NEEDY_MEDS,c360d1bf-0b3c-42d3-81c7-323e238597b8,,,sodium fluoride,ACT Total Care Sensitive Mouthwash Free Sample Offer,1,2024-08-21 09:10:46,2025-03-16 06:58:55
63,acuvue brand contact lenses,NEEDY_MEDS,6dbc3e0e-1b36-431e-9e66-1006bc2b1ce7,,,contact lenses,Acuvue Brand Contact Lenses Free-Trial Offer; Acuvue Brand Contact Lenses Discount Program/Point System,1,2024-08-21 09:10:46,2025-03-16 06:58:55
64,acyclovir,NEEDY_MEDS,bddcc11b-704e-4f44-a2fb-8719c077f876,,,,"",1,2024-08-21 09:10:46,2024-08-21 09:10:46
65,acyclovir capsule,NEEDY_MEDS,d861f385-9210-df46-9fea-969a37b4e83d,,,,Costco Member Prescription Program; Martin's Pharmacy Prescription Savings; D & W Fresh Market $5.99/$12.99 Generic Program; Hy-Vee $4/$10 Generic Program; Walgreens Prescription Savings Club; Family Fare Supermarkets $5.99/$12.99 Generic Program; Giant Pharmacy Prescription Savings; Price Cutter $4/$10 Medication Savings List; H-E-B Rx Rewards Platinum; VG's Grocery $5.99/$12.99 Generic Program; TOPS $3.99+Plan Generics Program; Forest Hills Foods $5.99/$12.99 Generic Program; Family Fresh Market $5.99/$12.99 Generic Program; Duane Reade/Walgreens Prescription Savings Club; Cash Saver $4 Prescription Program; Kroger Rx Savings Club,1,2024-08-21 09:10:46,2024-08-21 09:10:46
66,acyclovir tablet,NEEDY_MEDS,38b85ed8-7ac9-3842-947a-1d9b4e4aa017,,,,Costco Member Prescription Program; D & W Fresh Market $5.99/$12.99 Generic Program; Family Fare Supermarkets $5.99/$12.99 Generic Program; VG's Grocery $5.99/$12.99 Generic Program; TOPS $3.99+Plan Generics Program; Forest Hills Foods $5.99/$12.99 Generic Program; Family Fresh Market $5.99/$12.99 Generic Program; Kroger Rx Savings Club,1,2024-08-21 09:10:46,2024-08-21 09:10:46
67,adacel suspension; intramuscular injection,NEEDY_MEDS,f77ad191-58df-3244-a465-d2a878a9af34,,,tetanus toxoid reduced diptheria toxoid and acellular pertussis vaccine absorbed suspension; intramuscular injection,Sanofi Patient Connection,1,2024-08-21 09:10:46,2025-03-16 06:58:55
68,adakveo injection; iv,NEEDY_MEDS,b8440e2d-a052-d34b-851b-5b0ba92a562e,,,crizanlizumab-tmca injection; iv,"PANO (Novartis Patient Assistance Now Oncology); Novartis Patient Assistance Foundation, Inc. (NPAF); Adakveo injection; iv Copay Card Sign-up",1,2024-08-21 09:10:46,2025-03-16 06:58:55
69,adalat capsule,NEEDY_MEDS,ba80ddea-d309-9145-88c7-452f55a86fe9,,,nifedipine capsule,Rx Outreach Medications,1,2024-08-21 09:10:46,2025-03-16 06:58:55
70,adalat cc tablet; extended release,NEEDY_MEDS,42cf94e4-6c37-6a47-8c17-bbd2b8c9dc10,,,nifedipine tablet; extended release,Rx Outreach Medications,1,2024-08-21 09:10:46,2025-03-16 06:58:55
71,adapalene/benzoyl peroxide gel,NEEDY_MEDS,d01cc920-26be-5d44-89b7-e4209d626279,,,adapalene-benzoyl peroxide gel,Adapalene/Benzoyl Peroxide gel Discount Program/Point System; Adapalene/Benzoyl Peroxide gel Discount Program/Point System,1,2024-08-21 09:10:46,2025-03-16 06:58:55
72,adapalene gel,NEEDY_MEDS,1f1b71d4-0e1d-884b-a080-ff221c6a9ad3,,,retinoid gel,Adapalene gel Discount Program/Point System; Adapalene gel Discount Program/Point System,1,2024-08-21 09:10:46,2025-03-16 06:58:55
73,adasuve powder; inhalation,NEEDY_MEDS,9570e507-758a-ed4a-87fe-15155962ad44,,,loxapine powder; inhalation,"",1,2024-08-21 09:10:46,2025-03-16 06:58:55
74,adbry disposal container,NEEDY_MEDS,0837307d-dd23-49aa-bf0f-8817994428ad,,,container for adbry sharps disposal container,Adbry Injector Disposal Program,1,2024-08-21 09:10:46,2025-03-16 06:58:55
75,adbry injection,NEEDY_MEDS,75bd5f51-c1f8-4d88-810a-b182bfc4736a,,,tralokinumab-idrm injection,Adbry Advocate Program; Adbry injection Discount Program/Point System; Adbry injection Discount Program/Point System; Adbry injection Copay Card Program,1,2024-08-21 09:10:46,2025-03-16 06:58:55
76,adcetris injection,NEEDY_MEDS,4f4b56ad-f636-4280-9238-3be056413ec4,,,brentuximab vedotin injection,SeaGen Secure for Adcetris,1,2024-08-21 09:10:46,2025-03-16 06:58:55
77,adcirca tablet,NEEDY_MEDS,cc512f41-0220-1d45-8512-f37c3c68e7db,,,tadalafil tablet,Rx Outreach Medications; ASSIST Program; Adcirca tablet Copay Card Program,1,2024-08-21 09:10:46,2025-03-16 06:58:55
78,addaprin,NEEDY_MEDS,f67a5993-cef8-4298-ab74-d24eef92494d,,,ibuprofen,"",1,2024-08-21 09:10:46,2025-03-16 06:58:55
79,adderall,NEEDY_MEDS,d2461e1d-a804-f946-9db5-001a58e3081c,,,dextroamphetamine-amphetamine,Rx Outreach Medications,1,2024-08-21 09:10:46,2025-03-16 06:58:55
80,addyi tablet,NEEDY_MEDS,766f66ce-ce0a-a14e-af48-149667138b4b,,,flibanserin tablet,Addyi tablet Copay Card Sign-up; Addyi tablet Copay Card Sign-up; Addyi tablet Discount Program/Point System,1,2024-08-21 09:10:46,2025-03-16 06:58:55
81,adempas tablet,NEEDY_MEDS,43dba89f-5104-6341-bce0-003b18bb71ae,,,riociguat tablet,Bayer US Patient Assistance Foundation Free Drug Program; Adempas tablet Copay Card Program,1,2024-08-21 09:10:46,2025-03-16 06:58:55
82,adhansia xr capsule; extended-release,NEEDY_MEDS,9d49b9a8-ccc4-ae44-9b26-d5d12b75e5cd,,,methylphenidate capsule; extended-release,"",1,2024-08-21 09:10:46,2025-03-16 06:58:55
83,adipex-p,NEEDY_MEDS,0efe6b46-233c-a14d-a4cf-c853b603e8eb,,,phentermine,Rx Outreach Medications,1,2024-08-21 09:10:46,2025-03-16 06:58:55
84,adlarity transdermal system,NEEDY_MEDS,6f78cba8-d90a-4e46-9129-67373de83fad,,,donepezil transdermal system,Adlarity transdermal system Copay Card Program,1,2024-08-21 09:10:46,2025-03-16 06:58:55
85,adlyxin injection; subcutaneous,NEEDY_MEDS,96a9df45-ae7f-3246-9669-fa232f51b0b2,,,lixisenatide injection; subcutaneous,"",1,2024-08-21 09:10:46,2025-03-16 06:58:55
86,admelog injection; iv; subcutaneous,NEEDY_MEDS,5edc0b61-40e5-1b43-8e20-bfb8e4fa373e,,,insulin lispro injection; iv; subcutaneous,Sanofi Patient Connection; Admelog injection; iv; subcutaneous Copay Card Download; Admelog injection; iv; subcutaneous Mail-In Rebate,1,2024-08-21 09:10:46,2025-03-16 06:58:55
87,admelog solostar injection; iv; subcutaneous,NEEDY_MEDS,a910b1f2-6592-554b-9a6a-51f84bfeb3fd,,,insulin lispro injection; iv; subcutaneous,"",1,2024-08-21 09:10:46,2025-03-16 06:58:55
88,adrenaclick injectable; intramuscular,NEEDY_MEDS,dd3d67b7-52d2-451e-8e25-c639245b9518,,,epinephrine injectable; intramuscular,Rx Outreach Medications,1,2024-08-21 09:10:46,2025-03-16 06:58:55
89,adriamycin injection,NEEDY_MEDS,9ae42613-0253-401c-acca-ac91acbd320c,,,doxorubicin injection,"",1,2024-08-21 09:10:46,2025-03-16 06:58:55
90,adstiladrin suspension; intravesical,NEEDY_MEDS,e8849de1-a8da-40e4-bd8b-95b09df8dee6,,,nadofaragene firadenovec-vncg suspension; intravesical,Ferring Access Support,1,2024-08-21 09:10:46,2025-03-16 06:58:55
91,adthyza tablet,NEEDY_MEDS,104f777b-9db6-46d4-a19f-221475e01c07,,,thyroid tablet,Adthyza tablet Discount Program/Point System,1,2024-08-21 09:10:46,2025-03-16 06:58:55
92,advair,NEEDY_MEDS,6a8880e2-1017-744e-beff-2ea8f7c17ee0,,,fluticasone propionate-salmeterol xinafoate,Rx Outreach Medications,1,2024-08-21 09:10:46,2025-03-16 06:58:55
93,advair diskus inhalation powder,NEEDY_MEDS,144e5eff-bd67-2a48-a1ca-d102b92fa1ad,,,fluticasone propionate-salmeterol xinafoate inhalation powder,Rx Outreach Medications,1,2024-08-21 09:10:46,2025-03-16 06:58:55
94,advair hfa inhalation aerosol,NEEDY_MEDS,89e53de3-a830-d647-a89b-dccb4a10062e,,,fluticasone propionate-salmeterol xinafoate inhalation aerosol,"",1,2024-08-21 09:10:46,2025-03-16 06:58:55
95,advate injection,NEEDY_MEDS,69874b46-74c4-4de5-aee6-f903fd9f20c7,,,antihemophilic factor (recombinant) injection; iv lyophilized powder,Hematology Support Center Patient Assistance Program; Advate injection Free-Trial Offer; Advate injection Copay Card Program,1,2024-08-21 09:10:46,2025-03-16 06:58:55
96,advil,NEEDY_MEDS,b3801a2f-67bf-1d47-8741-5d8b841c0fed,,,ibuprofen,Rx Outreach Medications; Advil Free Sample Offer,1,2024-08-21 09:10:46,2025-03-16 06:58:56
97,advil allergy & congestion relief coated tablet,NEEDY_MEDS,5a87f43d-77b1-7344-b461-88ca9070921a,,,ibuprofen-chlorpheniramine maleate-pseudoephedrine,Advil Allergy & Congestion Relief Coated Tablet Sign-up Coupon,1,2024-08-21 09:10:46,2025-03-16 06:58:56
98,advil allergy sinus coated caplet,NEEDY_MEDS,9791da48-ebd9-4878-9e35-71f5d20319bc,,,ibuprofen-chlorpheniramine maleate-pseudoephedrine,Advil Allergy Sinus Coated Caplet Sign-up Coupon,1,2024-08-21 09:10:46,2025-03-16 06:58:56
99,advil caplet,NEEDY_MEDS,bc1fc9e6-5d23-421a-baf7-6d65e251e766,,,ibuprofen,Advil Caplet Sign-up Coupon,1,2024-08-21 09:10:46,2025-03-16 06:58:56
100,advil childrens liquid suspension products,NEEDY_MEDS,aa73401f-01a4-bf4f-81c4-8c420fccc2ef,,,ibuprofen,Advil Childrens Liquid Suspension Products Sign-up Coupon,1,2024-08-21 09:10:46,2025-03-16 06:58:56
101,advil childrens products,NEEDY_MEDS,4eb71de2-06e9-bc4e-87eb-a6870c4d1913,,,ibuprofen,Advil Childrens Products Free Sample Offer,1,2024-08-21 09:10:46,2025-03-16 06:58:56
102,advil cold & sinus caplet,NEEDY_MEDS,afb63aa5-2ea1-7a41-8d5b-dfb22481daca,,,ibuprofen-pseudoephedrine,Advil Cold & Sinus Caplet Sign-up Coupon,1,2024-08-21 09:10:46,2025-03-16 06:58:56
103,advil cold & sinus liquigel,NEEDY_MEDS,bf617ff9-0d2a-a34a-b99c-8114999031a0,,,ibuprofen-pseudoephedrine,Advil Cold & Sinus LiquiGel Sign-up Coupon,1,2024-08-21 09:10:46,2025-03-16 06:58:56
104,advil dual action back pain caplet,NEEDY_MEDS,78050c83-8f74-1e42-bb9b-1b2ceb4ff3ec,,,ibuprofen-acetaminophen,Advil Dual Action Back Pain Caplet Sign-up Coupon,1,2024-08-21 09:10:46,2025-03-16 06:58:56
105,advil dual action caplet products,NEEDY_MEDS,b7caccc8-bcf9-8b48-8e3a-1ec1249cc215,,,ibuprofen-acetaminophen,Advil Dual Action Caplet Products Sign-up Coupon,1,2024-08-21 09:10:46,2025-03-16 06:58:56
106,advil gel caplet,NEEDY_MEDS,ebf2973a-8754-4d9e-b77c-0cb7d8e0c4eb,,,ibuprofen,Advil Gel Caplet Sign-up Coupon,1,2024-08-21 09:10:46,2025-03-16 06:58:56
107,advil infant drops,NEEDY_MEDS,9221487e-d7d0-2440-95c0-0a41c98af2ee,,,Ibuprofen,Advil Infant Drops Sign-up Coupon,1,2024-08-21 09:10:46,2025-03-16 06:58:56
108,advil junior strength chewable tablet,NEEDY_MEDS,21a7b31e-f64f-2c42-b18a-ef18808ffcb7,,,ibuprofen,Advil Junior Strength Chewable Tablet Sign-up Coupon,1,2024-08-21 09:10:46,2025-03-16 06:58:56
109,advil liqui-gel products,NEEDY_MEDS,3f491e57-3c7e-7d4d-87b6-4fc7bdac005f,,,solubilized ibuprofen,Advil Liqui-Gel Products Sign-up Coupon,1,2024-08-21 09:10:46,2025-03-16 06:58:56
110,advil migraine capsule,NEEDY_MEDS,aba6e881-7dfa-284a-ae76-8854388f5171,,,ibuprofen,Advil Migraine Capsule Sign-up Coupon,1,2024-08-21 09:10:46,2025-03-16 06:58:56
111,advil multi-symptom cold & flu tablet,NEEDY_MEDS,47602462-6238-0e4b-80df-98b64afc34a5,,,ibuprofen-phenylephrine,Advil Multi-Symptom Cold & Flu Tablet Sign-up Coupon,1,2024-08-21 09:10:46,2025-03-16 06:58:56
112,advil pm caplet,NEEDY_MEDS,ee0e33d8-be4f-074f-a9b7-49815aff99ab,,,ibuprofen-diphenhydramine citrate,Advil PM Caplet Sign-up Coupon,1,2024-08-21 09:10:46,2025-03-16 06:58:56
113,advil pm liqui-gel,NEEDY_MEDS,14eed63d-02ca-904b-86ec-7bdac1876980,,,ibuprofen-diphenhydramine citrate,Advil PM Liqui-Gel Sign-up Coupon,1,2024-08-21 09:10:46,2025-03-16 06:58:56
114,advil sinus congestion & pain tablet,NEEDY_MEDS,e4697227-a064-4962-82e4-fb4864c825ca,,,ibuprofen-phenylephrine,Advil Sinus Congestion & Pain Tablet Sign-up Coupon,1,2024-08-21 09:10:46,2025-03-16 06:58:56
115,advil tablet products,NEEDY_MEDS,7aca30b1-911c-8e4c-8009-8d493ce909b9,,,ibuprofen,Advil Tablet Products Sign-up Coupon,1,2024-08-21 09:10:46,2025-03-16 06:58:56
