ID,UUID,Name,Active,Associated SourceDrugs Count,Associated SourceDrugs,Associated Programs Count,Associated Programs,Created At,Updated At
11,c2cb8668-07f4-4511-a02e-424a1c785434,abrilada,true,8,abrilada; abrilada injection; subcutaneous; abrilada; abrilada; abrilada; abrilada; abrilada(cf); abrilada(cf) pen,14,Pfizer enCompass; Abrilada injection; subcutaneous Copay Card Program; ankylosing spondylitis fund; crohns disease fund; juvenile arthritis fund; psoriasis fund; psoriatic arthritis fund; rheumatoid arthritis fund; ulcerative colitis fund; uveitis fund; autoimmune - medicare access fund; inflammatory bowel disease - medicare access fund; chronic noninfectious uveitis fund; inflammatory bowel disease fund,2024-08-21 09:11:16,2025-03-09 11:27:00
12,cd61c39f-0202-4d68-8107-23c0ad2ccfb5,abrysvo,true,3,abrysvo; abrysvo solution; intramuscular injection; abrysvo,3,Pfizer Patient Assistance Program; Pfizer RxPathways; pfizer rxpathways,2024-08-21 09:11:16,2025-03-09 11:27:00
13,73c4c779-02f4-46c1-98aa-49c274795a51,absorbine jr plus pain relieving,true,1,absorbine jr. plus pain relieving liquid,1,Absorbine Jr. Plus Pain Relieving Liquid Instant Coupon,2024-08-21 09:11:16,2025-03-09 11:27:00
14,536bbd25-cc95-4f4d-b67c-c6a9a0d970e1,absorbine jr pro pain relief,true,1,absorbine jr. pro pain relief cream,1,Absorbine Jr. PRO Pain Relief Cream Instant Coupon,2024-08-21 09:11:16,2025-03-09 11:27:00
15,b87788fc-f187-4266-bd0f-506df0f9d932,absorbine jr pro pain relief dry,true,1,absorbine jr. pro pain relief dry spray,1,Absorbine Jr. PRO Pain Relief Dry Spray Instant Coupon,2024-08-21 09:11:17,2025-03-09 11:27:00
16,aaad6473-fee3-44c9-a45b-991685ddf3ba,absorbine jr pro pain relief roll on,true,1,absorbine jr. pro pain relief roll on,1,Absorbine Jr. PRO Pain Relief Roll On Instant Coupon,2024-08-21 09:11:17,2025-03-09 11:27:00
17,9269f764-ad0b-4aa7-9994-1d5c1a66ca08,absorica,true,3,absorica capsule; absorica; absorica,6,Absorica capsule Copay Card Sign-up; non-hodgkin's lymphoma fund; absorica copay card program; absorica ld copay card program; absorica copay card program; absorica ld copay card program,2024-08-21 09:11:17,2025-03-09 11:27:00
18,44aa7496-9d6a-45b5-822a-c4c3a873e48a,absorica ld,true,2,absorica ld capsule; absorica ld,2,Absorica LD capsule Copay Card Sign-up; non-hodgkin's lymphoma fund,2024-08-21 09:11:17,2025-03-09 11:27:00
19,e4a1a332-aac9-48b3-a07c-aaf545af4245,acanya,true,3,acanya; acanya gel; topical; acanya,3,Bausch Health Patient Assistance Program; Bausch Health Patient Assistance Program; bausch health patient assistance program,2024-08-21 09:11:17,2025-03-09 11:27:00
20,abd4191a-5b9b-4ed3-9b38-6c8d3158e5f2,acarbose,true,3,acarbose tablet; acarbose; acarbose,3,Costco Member Prescription Program; pediatric assistance fund; type 2 diabetes fund,2024-08-21 09:11:17,2024-08-21 09:11:17
21,dbd6bff5-2a09-4ee6-a646-9f67bc793280,accolate,true,5,accolate tablet; accolate; accolate; accolate; accolate,2,Rx Outreach Medications; asthma fund,2024-08-21 09:11:17,2025-03-09 11:27:00
22,57d2331a-f535-479a-a631-b55066172d99,accrufer,true,2,accrufer capsule; accrufer,7,Accrufer capsule Free-Trial Offer; Accrufer capsule Mail-Order Pharmacy; Accrufer capsule Mail-Order Pharmacy; accrufer blinkrx pharmacy free fill program; accrufer blinkrx pharmacy program; accrufer blinkrx pharmacy free fill program; accrufer blinkrx pharmacy program,2024-08-21 09:11:17,2025-03-09 11:27:00
23,6b448678-a32b-4d29-b66d-cfa2c30f7155,accu-chek fastclix lancets,true,1,accu-chek fastclix lancets,2,Accu-Chek FastClix lancets Sign-up Coupon; Accu-Chek FastClix lancets Sign-up Coupon,2024-08-21 09:11:17,2025-03-09 11:27:00
24,b5bb1f22-d767-4931-858d-86d796cdfd31,accu-chek guide me blood glucose meter,true,1,accu-chek guide me blood glucose meter,3,Accu-Chek Guide Me Blood Glucose Meter Free Sample Offer; Accu-Chek Guide Me Blood Glucose Meter Sign-up Coupon; Accu-Chek Guide Me Blood Glucose Meter Sign-up Coupon,2024-08-21 09:11:17,2025-03-09 11:27:00
25,8ffb94ee-73b3-46b5-a5d7-45a80b9f1afe,accu-chek guide meter,true,1,accu-chek guide meter,1,Accu-Chek Guide Meter Sign-up Coupon,2024-08-21 09:11:17,2025-03-09 11:27:00
26,29a46889-5bba-4682-b620-765104f9d934,accu-chek guide test strips,true,1,accu-chek guide test strips,2,Accu-Chek Guide Test Strips Sign-up Coupon; Accu-Chek Guide Test Strips Sign-up Coupon,2024-08-21 09:11:17,2025-03-09 11:27:00
27,dbac059a-b9a4-45f6-aa8b-6ec4d683b037,accu-chek softclix lancets,true,1,accu-chek softclix lancets,2,Accu-Chek Softclix lancets Sign-up Coupon; Accu-Chek Softclix lancets Sign-up Coupon,2024-08-21 09:11:17,2025-03-09 11:27:00
28,701b8e42-342e-45c4-a9ec-f16cc7c7c99e,accuneb,true,3,accuneb inhalation solution; accuneb; accuneb,2,asthma fund; cystic fibrosis treatments fund,2024-08-21 09:11:17,2025-03-09 11:27:00
29,34c77081-08a0-4627-be37-b578678ea28e,accupril,true,6,accupril tablet; accupril; accupril; accupril; accupril; accupril,12,Rx Outreach Medications; heart failure - privately insured; heart failure - publicly insured; cardiomyopathy - medicare access fund; chronic heart failure - medicare access fund; cardiomyopathy fund; heart failure fund; hemolytic uremic syndrome fund; hemolytic uremic syndrome premium fund; neurofibromatosis fund; neurofibromatosis premium fund; rx outreach medications,2024-08-21 09:11:17,2025-03-09 11:27:00
30,840962a0-9b79-4c9e-8457-d4452e832758,accuretic,true,4,accuretic tablet; accuretic; accuretic; accuretic,5,Rx Outreach Medications; heart failure fund; neurofibromatosis fund; neurofibromatosis premium fund; rx outreach medications,2024-08-21 09:11:17,2025-03-09 11:27:00
31,95e7d981-2abb-46d9-92ff-538d9576adb9,accutane,true,3,accutane; accutane; accutane,4,Accutane Copay Card Download; non-hodgkin's lymphoma fund; accutane patient savings card; accutane patient savings card,2024-08-21 09:11:17,2025-03-09 11:27:00
32,94683174-aa6e-4c54-b717-d0a2596e8c0e,aceon,true,3,aceon tablet; aceon; aceon,3,cardiomyopathy - medicare access fund; chronic heart failure - medicare access fund; cardiomyopathy fund,2024-08-21 09:11:17,2025-03-09 11:27:00
33,44c50269-d485-4b0a-bebd-41034d7bf88e,aceso ag,true,2,aceso ag; aceso ag,1,diabetic foot ulcers fund,2024-08-21 09:11:17,2025-03-09 11:27:00
34,6f408ca6-ed71-47c5-a841-c1bfca6e98c1,acetaminophen-codeine,true,1,acetaminophen-codeine tablet,0,"",2024-08-21 09:11:17,2024-08-21 09:11:17
35,9b3db6fd-ab30-4734-b11f-00b9bd05e50b,acetazolamide,true,6,acetazolamide; acetazolamide capsule; extended-release; acetazolamide; acetazolamide; acetazolamide; acetazolamide,5,heart failure fund; heart failure - privately insured; heart failure - publicly insured; inherited retinal disease fund; inherited retinal disease premium fund,2024-08-21 09:11:17,2024-08-21 09:11:17
36,6952db2f-c6f8-4edc-b6aa-8798df28ea65,acidgone,true,1,acidgone,0,"",2024-08-21 09:11:17,2025-03-09 11:27:00
37,b3b7a5b8-0ef6-4e76-b24d-fc42685e8c7c,aciphex sprinkle,true,2,aciphex sprinkle capsule; delayed release; aciphex sprinkle,2,short bowel syndrome fund; short bowel syndrome premium fund,2024-08-21 09:11:17,2025-03-09 11:27:00
38,7a51a392-ca85-4ec6-8cb5-80554714f2f5,aciphex,true,4,aciphex tablet; delayed release; aciphex; aciphex; aciphex,8,Rx Outreach Medications; AcipHex tablet; delayed release Copay Card Sign-up; rett syndrome fund; short bowel syndrome fund; short bowel syndrome premium fund; aciphex copay savings program; rx outreach medications; aciphex copay savings program,2024-08-21 09:11:17,2025-03-09 11:27:00
39,56980309-7858-4b1c-908d-aae4d2639f75,aclovate,true,2,aclovate; aclovate,2,Rx Outreach Medications; autoimmune - medicare access fund,2024-08-21 09:11:17,2025-03-09 11:27:01
40,930564db-d0a2-4f97-85f2-7b9fbaf4ba9f,act anticavity mouthwash,true,1,act anticavity mouthwash products,2,ACT Anticavity Mouthwash Products Instant Coupon; ACT Anticavity Mouthwash Products Free Sample Offer,2024-08-21 09:11:17,2025-03-09 11:27:01
41,581c08ab-a562-4da1-9416-73fc8544e5ed,act braces care mouthwash,true,1,act braces care mouthwash,1,ACT Braces Care Mouthwash Free Sample Offer,2024-08-21 09:11:17,2025-03-09 11:27:01
42,873cee67-cbb5-4d0a-a3c8-b6702c8a5060,act dry mouth gum,true,1,act dry mouth gum,2,ACT Dry Mouth Gum Free Sample Offer; ACT Dry Mouth Gum Instant Coupon,2024-08-21 09:11:17,2025-03-09 11:27:01
43,54fff77f-87f4-494f-917d-26bb6ec3f49a,act dry mouth lozenges,true,1,act dry mouth lozenges,2,ACT Dry Mouth Lozenges Instant Coupon; ACT Dry Mouth Lozenges Free Sample Offer,2024-08-21 09:11:17,2025-03-09 11:27:01
44,2c04b628-2cb1-4cdd-b2d7-95912bb83834,act dry mouth mouthwash,true,1,act dry mouth mouthwash,2,ACT Dry Mouth Mouthwash Instant Coupon; ACT Dry Mouth Mouthwash Free Sample Offer,2024-08-21 09:11:17,2025-03-09 11:27:01
45,e3a662b5-058d-4778-bf24-e37423c41d71,act kids mouthwash,true,1,act kids mouthwash products,2,ACT Kids Mouthwash Products Instant Coupon; ACT Kids Mouthwash Products Free Sample Offer,2024-08-21 09:11:17,2025-03-09 11:27:01
46,3f0aed65-0674-4ca4-ae14-c48b75a34a5a,act kids toothpaste,true,1,act kids toothpaste products,1,ACT Kids Toothpaste Products Free Sample Offer,2024-08-21 09:11:17,2025-03-09 11:27:01
47,c1e2cfbf-3378-4e12-b379-5b413125a14d,act restoring mouthwash,true,1,act restoring mouthwash products,2,ACT Restoring Mouthwash Products Instant Coupon; ACT Restoring Mouthwash Products Free Sample Offer,2024-08-21 09:11:17,2025-03-09 11:27:01
48,fb142d9b-8e9b-466e-8acb-b8da4f29e124,act total care mouthwash,true,1,act total care mouthwash products,1,ACT Total Care Mouthwash Products Instant Coupon,2024-08-21 09:11:17,2025-03-09 11:27:01
49,820b5c0a-02bb-4fe5-95d2-3c5a14f557ee,act total care sensitive mouthwash,true,1,act total care sensitive mouthwash,1,ACT Total Care Sensitive Mouthwash Free Sample Offer,2024-08-21 09:11:17,2025-03-09 11:27:01
50,8398292e-e0bc-4382-b3f8-794f40ce10b9,actemra,true,7,actemra; actemra injection; actemra; actemra; actemra; actemra; actemra,20,Genentech Patient Foundation; Genentech Access Solutions: Actemra & Rituxan; Genentech Patient Foundation; Actemra injection Mail-In Rebate; Actemra injection Copay Card Sign-up; juvenile arthritis fund; rheumatoid arthritis fund; systemic sclerosis fund; pulmonary fibrosis - publicly insured; autoimmune - medicare access fund; b-cell lymphoma - medicare access fund; giant cell arteritis or temporal arteritis - medicare access fund; systemic sclerosis with interstitial lung disease fund; neuromyelitis optica spectrum disorder fund; genentech access solutions: actemra & rituxan; genentech patient foundation; actemra co-pay card program; actemra co-pay card program rebate; actemra co-pay card program; actemra co-pay card program rebate,2024-08-21 09:11:17,2025-03-09 11:27:01
51,f7a29610-3e39-4c79-b2ab-bd4b13116a5b,actemra actpen,true,4,actemra actpen injection; subcutaneous; actemra actpen; actemra actpen; actemra actpen,4,pulmonary fibrosis - publicly insured; b-cell lymphoma - medicare access fund; systemic sclerosis with interstitial lung disease fund; neuromyelitis optica spectrum disorder fund,2024-08-21 09:11:17,2025-03-09 11:27:01
52,e6ee2d1a-0d32-4d2b-9c77-724552c81ee4,acthar,true,10,acthar gel; acthar gel injection; acthar injection; acthar; acthar gel; acthar; acthar; acthar gel; acthar; acthar,20,Acthar Patient Assistance Program; Acthar Patient Assistance Program; Acthar Gel injection Copay Card Sign-up; myositis fund; nephrotic syndrome fund; ankylosing spondylitis fund; infantile spasms fund; juvenile arthritis fund; lupus fund; multiple sclerosis fund; psoriatic arthritis fund; rheumatoid arthritis fund; sarcoidosis fund; uveitis fund; multiple sclerosis - privately insured; multiple sclerosis - publicly insured; multiple sclerosis health equity fund; acthar patient assistance program; acthar commercial co-pay program; acthar commercial co-pay program,2024-08-21 09:11:17,2025-03-16 07:22:32
53,7fc868f0-8ef6-421d-8c49-ddec3580a145,acthrel,true,2,acthrel injection; iv; acthrel,1,cushing's disease or cushing's syndrome fund,2024-08-21 09:11:17,2025-03-09 11:27:01
54,eb327e4b-6533-432d-a3c5-0ce9bf8bf70f,acticlate,true,2,acticlate tablet; acticlate,1,neurotrophic keratitis fund,2024-08-21 09:11:17,2025-03-09 11:27:01
55,e453466e-f753-4366-b0d7-f89fb0bdb3b0,actigall,true,2,actigall capsule; actigall,2,Rx Outreach Medications; cystic fibrosis treatments fund,2024-08-21 09:11:17,2025-03-09 11:27:01
56,67942f8d-8546-4d70-bea5-9a84398210d1,actimmune,true,7,actimmune; actimmune injection; subcutaneous; actimmune (interferon gamma-1b); actimmune; actimmune; actimmune; actimmune,12,Horizon By Your Side - Actimmune; Horizon By Your Side: Actimmune; Actimmune injection; subcutaneous Copay Card Program; chronic granulomatous disease (cgd) fund; primary immune deficiency - privately insured; primary immune deficiency - publicly insured; chronic granulomatous disease fund; severe malignant osteopetrosis fund; non-hodgkin's lymphoma fund; amgen by your side: actimmune; actimmune amgen by your side co-pay program; actimmune amgen by your side co-pay program,2024-08-21 09:11:17,2025-03-09 11:27:01
57,73faae17-9349-4bdb-aef2-dd9b1654e56a,activase,true,3,activase; activase injection; iv; activase,3,Genentech Patient Foundation; Genentech Patient Foundation; genentech patient foundation,2024-08-21 09:11:17,2025-03-09 11:27:01
58,52b56023-26cb-4775-9f67-eb9f2c78a927,actonel,true,6,actonel tablet; actonel; actonel; actonel; actonel; actonel,8,Rx Outreach Medications; neurofibromatosis fund; bone metastases - medicare access fund; post menopausal osteoporosis - medicare access fund; bone metastases fund; postmenopausal osteoporosis fund; neurofibromatosis premium fund; rx outreach medications,2024-08-21 09:11:17,2025-03-09 11:27:01
59,3832f1c5-9169-44a7-b998-6302b3bd477f,actoplus met,true,3,actoplus met tablet; actoplus met; actoplus met,1,type 2 diabetes fund,2024-08-21 09:11:17,2025-03-09 11:27:01
60,84baa12a-1ec9-438c-a8c7-387694d0965e,actos,true,4,actos tablet; actos; actos; actos,4,Rx Outreach Medications; metabolic dysfunction-associated steatohepatitis fund; type 2 diabetes fund; rx outreach medications,2024-08-21 09:11:17,2025-03-09 11:27:01
61,a4c5ebeb-aabb-4e47-8167-60f2179ff467,acuvue brand contact lenses,true,1,acuvue brand contact lenses,2,Acuvue Brand Contact Lenses Free-Trial Offer; Acuvue Brand Contact Lenses Discount Program/Point System,2024-08-21 09:11:17,2025-03-09 11:27:01
62,6c5aca0f-b31a-40a0-a484-d3c0d94f26f3,acyclovir,true,4,acyclovir; acyclovir capsule; acyclovir tablet; acyclovir,17,Costco Member Prescription Program; Martin's Pharmacy Prescription Savings; D & W Fresh Market $5.99/$12.99 Generic Program; Hy-Vee $4/$10 Generic Program; Walgreens Prescription Savings Club; Family Fare Supermarkets $5.99/$12.99 Generic Program; Giant Pharmacy Prescription Savings; Price Cutter $4/$10 Medication Savings List; H-E-B Rx Rewards Platinum; VG's Grocery $5.99/$12.99 Generic Program; TOPS $3.99+Plan Generics Program; Forest Hills Foods $5.99/$12.99 Generic Program; Family Fresh Market $5.99/$12.99 Generic Program; Duane Reade/Walgreens Prescription Savings Club; Cash Saver $4 Prescription Program; Kroger Rx Savings Club; cytomegalovirus disease - prevention and treatment fund,2024-08-21 09:11:17,2024-08-21 09:11:17
63,db1573d4-6110-4b66-adfd-497510ed774c,adacel,true,2,adacel; adacel suspension; intramuscular injection,2,Sanofi Patient Connection; Sanofi Patient Connection,2024-08-21 09:11:17,2025-03-09 11:27:01
64,73545ead-e10e-426c-8f35-cf14f75b7621,adakveo,true,6,adakveo; adakveo injection; iv; adakveo; adakveo; adakveo; adakveo,11,"Novartis Patient Assistance Now Oncology (PANO); Universal Co-Pay Card; Novartis Patient Assistance Foundation, Inc.; PANO (Novartis Patient Assistance Now Oncology); Novartis Patient Assistance Foundation, Inc. (NPAF); Adakveo injection; iv Copay Card Sign-up; sickle cell disease fund; sickle cell disease health equity fund; adakveo novartis oncology universal co-pay card; novartis patient assistance foundation, inc. (npaf); adakveo novartis oncology universal co-pay card",2024-08-21 09:11:17,2025-03-09 11:27:01
65,4894d7ec-af66-4597-b7c9-0c965a5bc281,adalat,true,1,adalat capsule,1,Rx Outreach Medications,2024-08-21 09:11:17,2025-03-09 11:27:01
66,10f686f1-70f7-49d8-b4b4-bbd33f485c81,adalat cc,true,2,adalat cc tablet; extended release; adalat cc,2,Rx Outreach Medications; migraine fund,2024-08-21 09:11:17,2025-03-09 11:27:01
67,6f5dc432-38b4-4703-9e0b-876a47e7ed1d,adapalene,true,1,adapalene gel,2,Adapalene gel Discount Program/Point System; Adapalene gel Discount Program/Point System,2024-08-21 09:11:17,2025-03-09 11:27:01
68,4a16f0c1-1023-46e1-848e-17dd046b8171,adapalene/benzoyl peroxide,true,1,adapalene/benzoyl peroxide gel,2,Adapalene/Benzoyl Peroxide gel Discount Program/Point System; Adapalene/Benzoyl Peroxide gel Discount Program/Point System,2024-08-21 09:11:17,2025-03-09 11:27:01
69,54480f43-06bc-4ee4-9561-718dec5e07c1,adasuve,true,3,adasuve powder; inhalation; adasuve; adasuve,4,neurocognitive disease with psychosis - medicare access fund; pediatric assistance fund; schizophrenia - medicare access fund; schizophrenia fund,2024-08-21 09:11:17,2025-03-09 11:27:01
70,ad0a3747-454e-48a6-8111-4033ed2a4dba,adbry,true,4,adbry; adbry injection; adbry; adbry,14,Adbry Advocate Program; Adbry Advocate Program; Adbry injection Discount Program/Point System; Adbry injection Discount Program/Point System; Adbry injection Copay Card Program; atopic dermatitis fund; adbry advocate program; adbry injector disposal program; adbry bridge care program; adbry copay program; adbry rapid access program; adbry bridge care program; adbry copay program; adbry rapid access program,2024-08-21 09:11:17,2025-03-09 11:27:01
71,00b22873-f418-4501-9204-9b68d2ab9a0d,adbry disposal container,true,1,adbry disposal container,1,Adbry Injector Disposal Program,2024-08-21 09:11:17,2025-03-09 11:27:01
72,3bf83a2a-e5e3-47db-b506-2abf8b6e093e,adcetris,true,7,adcetris; adcetris injection; adcetris; adcetris; adcetris; adcetris; adcetris,8,SeaGen Secure; SeaGen Secure for Adcetris; hodgkin lymphoma fund; b-cell lymphoma - medicare access fund; anaplastic large cell lymphoma fund; hodgkin's lymphoma fund; non-hodgkin's lymphoma fund; seagen secure for adcetris,2024-08-21 09:11:17,2025-03-09 11:27:01
73,979f1db8-f50d-4cc6-b86d-a9693621bff5,adcirca,true,8,adcirca tablet; adcirca tablets; adcirca; adcirca; adcirca; adcirca; adcirca; adcirca,12,Rx Outreach Medications; ASSIST Program; Adcirca tablet Copay Card Program; ASSIST Program; mps ii - hunter syndrome fund; pulmonary hypertension fund; pulmonary hypertension - medicare access fund; pulmonary arterial hypertension fund; adcirca co-pay assistance card; rx outreach medications; united therapeutics cares; adcirca co-pay assistance card,2024-08-21 09:11:17,2025-03-09 11:27:01
74,6ebca53f-50c5-4c93-95a2-4d3389fa7e3c,addaprin,true,2,addaprin; addaprin,3,hypophosphatasia fund; neurofibromatosis fund; neurofibromatosis premium fund,2024-08-21 09:11:17,2025-03-09 11:27:02
75,871c30fb-c445-4adc-8839-13110121509a,adderall,true,4,adderall; adderall; adderall; adderall,4,Rx Outreach Medications; narcolepsy fund; pediatric assistance fund; rx outreach medications,2024-08-21 09:11:17,2025-03-09 11:27:02
76,89ba9925-00cc-4f5c-a379-b8a8135c5e88,addyi,true,2,addyi tablet; addyi,7,Addyi tablet Copay Card Sign-up; Addyi tablet Copay Card Sign-up; Addyi tablet Discount Program/Point System; addyi free home delivery; addyi free home delivery; addyi savings card; addyi savings card,2024-08-21 09:11:17,2025-03-09 11:27:02
77,ded5d2ff-2a12-4266-84df-13a2df863d09,adempas,true,7,adempas tablet; adempas; adempas; adempas; adempas; adempas; adempas,10,Bayer US Patient Assistance Foundation Free Drug Program; Adempas tablet Copay Card Program; mps ii - hunter syndrome fund; pulmonary hypertension fund; pediatric assistance fund; pulmonary hypertension - medicare access fund; pulmonary arterial hypertension fund; bayer us patient assistance foundation free drug program; adempas aim co-pay assistance program; adempas aim co-pay assistance program,2024-08-21 09:11:17,2025-03-09 11:27:02
78,6178b8b7-26cc-47ba-b01b-efea26bd8c34,adhansia xr,true,3,adhansia xr capsule; extended-release; adhansia xr; adhansia xr,5,cancer-related behavioral health fund; emergency/medical workers behavioral health fund fund; oncology caregiver behavioral health fund fund; cancer fund; cancer genetic and genomic testing health equity fund,2024-08-21 09:11:17,2025-03-09 11:27:02
79,ce76bcb0-b32a-4c60-ac50-5bfeca094962,adipex-p,true,2,adipex-p; adipex p,2,Rx Outreach Medications; rx outreach medications,2024-08-21 09:11:17,2025-03-09 11:27:02
80,487f400b-737a-4bc4-b538-77d409a865fd,adlarity transdermal system,true,1,adlarity transdermal system,1,Adlarity transdermal system Copay Card Program,2024-08-21 09:11:17,2025-03-09 11:27:02
81,aae075f9-dfaa-4b95-8cbc-992864a1d1d8,adlyxin,true,1,adlyxin injection; subcutaneous,0,"",2024-08-21 09:11:17,2025-03-09 11:27:02
82,d6f66992-a7b9-4755-9190-66ebc350890b,admelog,true,5,admelog; admelog injection; iv; subcutaneous; admelog; admelog; admelog,12,Sanofi Patient Connection; Sanofi Patient Connection; Admelog injection; iv; subcutaneous Copay Card Download; Admelog injection; iv; subcutaneous Mail-In Rebate; pediatric assistance fund; type 2 diabetes fund; hyperkalemia fund; sanofi patient connection; admelog insulins valyou savings program; admelog insulins valyou savings rebate; admelog insulins valyou savings program; admelog insulins valyou savings rebate,2024-08-21 09:11:17,2025-03-09 11:27:02
83,97e5e22b-a54e-4a74-ab9f-239ca651e80c,admelog solostar,true,3,admelog solostar injection; iv; subcutaneous; admelog solostar pen; admelog solostar,3,pediatric assistance fund; type 2 diabetes fund; hyperkalemia fund,2024-08-21 09:11:17,2025-03-09 11:27:02
84,054c4acb-ed9c-484c-a32a-f12b4f783f59,adrenaclick,true,1,adrenaclick injectable; intramuscular,1,Rx Outreach Medications,2024-08-21 09:11:17,2025-03-09 11:27:02
